cesar,1054204.0,219.0,20.0,7.0,70670,45.316,1065637.0,46.524,29.019,95189.41666666669,44.5,38.6,58.5,20.7,17.2,28.4,61.0,53.0,77.3,2.5,2.2,3.1,7.5,8.3,7.0,46.3,47.4,46.5,21.2,24.4,17.2,18.2,17.0,28.9,5.7,4.5,7.3,4.6,4.9,3.2,15.7,11.5,26.4,22.7,20.1,26.5,10.2,4.0,25.6,17.5,17.5,18.1,1.6,1.2,2.0,87.9,87.4,87.6,82.53,8.645,15.0,26.15,7.4,0.0,1613.7931166772034,87.65161743628035,252.7205882352941,28.342996810915352,33.9103967738031,21.530783419299603,73.84569037028247,29.64,15.15,14.49,63.91,31.25,32.66,6.45,3.1,3.34
choco,508345.0,21.0,6.0,0.0,25950,66.67666666666668,515166.0,11.071,27.033,7734.833333333332,68.25,52.84999999999999,76.5,28.25,18.35,35.25,72.6,55.3,82.4,6.95,4.0,8.649999999999999,5.05,3.75,4.9,52.8,51.25,56.84999999999999,10.3,9.1,11.4,66.55,50.95,74.65,7.95,4.800000000000002,10.1,13.65,29.75,3.3,2.95,1.15,3.7,25.9,24.2,30.75,67.1,46.1,76.35,21.3,18.6,22.75,1.85,1.2,2.3,94.6,91.3,96.2,32.345,2.83,78.0,33.095,14.72,0.1333333333333333,5807.708861420711,214.38519887421643,215.58536585365852,25.749544664236122,29.71076041108085,21.875790608020395,89.02168542157088,34.19,17.39,16.81,60.13,29.41,30.72,5.68,2.61,3.07
cordoba,1760451.0,375.0,236.0,2.0,130407,53.45,1788648.0,714.887,31.305,152264.25,27.3,14.65,33.2,10.45,6.2,13.1,66.75,47.25,75.94999999999997,1.5,1.6,1.5,3.4,3.05,3.15,28.9,26.65,30.1,5.3,7.9,3.5,6.15,2.55,6.8,2.5,1.7,2.9,1.05,0.75,1.1,3.85,0.9,6.35,14.3,12.8,15.3,20.45,0.6499999999999999,32.3,12.75,13.9,11.9,1.0,0.7,1.25,83.8,80.35,84.8,78.36500000000002,7.935,0.0,8.93,1.03,0.0,1597.2559423665314,87.18720444899941,56.01315789473684,27.5744292045218,32.580652006163646,22.68914042992157,83.52331481091393,22.02,11.29,10.73,68.74,33.86,34.89,9.24,4.26,4.98
cundinamarca,2773381.0,315.0,51.0,4.0,252509,27.55258620689655,2804238.0,123.9,33.559,280663.0,53.1,40.8,64.1,25.85,19.4,30.05,66.35,50.09999999999999,76.85,2.05,1.6,2.45,3.6,3.25,3.85,48.7,45.2,50.95,17.55,21.75,14.65,35.45,34.9,34.45,4.6,3.45,5.199999999999998,11.15,10.15,8.850000000000003,41.7,21.6,56.95,19.8,15.7,22.85,32.25,6.800000000000002,46.15000000000001,13.65,15.0,12.95,1.1,0.8500000000000001,1.3,92.65,90.8,93.7,57.77,5.23,21.0,13.24,11.35,0.03333333333333333,1349.6128603473524,172.29604256918748,2191.2151162790697,16.368597849097437,21.262261139610555,9.673647871348912,82.30044194438611,27.08,13.92,13.16,64.53,31.78,32.75,8.39,4.09,4.31
guainia,43402.0,0.0,0.0,0.0,1567,89.13333333333334,43446.0,0.601,23.777,705.9166666666665,90.1,0.0,90.1,28.3,0.0,28.3,89.6,0.0,89.6,19.3,0.0,19.3,4.5,0.0,4.5,79.8,0.0,79.8,32.1,0.0,32.1,80.3,0.0,80.3,18.7,0.0,18.7,3.0,0.0,3.0,63.6,0.0,65.9,52.3,0.0,52.3,87.9,0.0,87.9,41.7,0.0,41.7,1.0,0.0,1.4,98.3,0.0,98.3,26.63,,56.0,14.89,27.54,0.0,3025.098028529351,165.79812209395544,97.16666666666669,26.48977272727273,31.583128246753244,22.295652173913044,83.75024872788029,39.68,20.27,19.4,56.8,30.1,26.7,3.53,1.87,1.65
guaviare,115450.0,11.0,1.0,0.0,3779,54.575,115829.0,21.666,28.897,4026.666666666666,54.75,44.25,63.2,13.8,9.65,18.25,76.19999999999997,56.45,87.5,3.0,2.4,4.25,7.6,6.300000000000002,8.0,36.1,34.6,40.7,8.05,10.7,5.35,40.65,37.95,45.85,5.300000000000002,3.5,7.800000000000002,20.45,55.6,3.65,13.65,5.25,23.4,21.05,20.05,24.3,52.4,28.3,69.05000000000001,18.5,18.15,18.9,2.2,1.7,3.0,91.75,83.35,95.85,34.075,3.04,88.0,41.215,9.22,0.25,2674.189352593417,167.90998376623375,190.25,25.473446518759022,31.465912022005767,20.991374269005853,86.22811288656875,28.66,14.64,14.02,66.1,35.79,30.31,5.24,3.05,2.19
huila,1192020.0,177.0,14.0,4.0,85213,41.2054054054054,1197049.0,601.835,31.85,140709.0,41.6,27.1,51.2,14.5,11.4,16.2,73.5,58.0,81.7,1.8,1.4,2.1,6.8,4.8,6.6,39.8,38.9,38.1,8.3,12.3,6.4,13.3,3.1,20.3,5.8,3.1,8.1,2.1,1.9,2.0,12.5,4.4,20.1,19.8,16.3,22.2,19.6,1.5,35.6,13.8,14.3,13.0,3.1,1.5,4.6,91.8,87.4,94.8,77.33,5.22,16.0,11.31,2.12,0.0,1499.2552075336457,150.78821021838596,1112.1612903225807,22.68943228917745,27.92893458390501,17.70118758604091,76.51193319315293,25.23,12.94,12.29,66.25,32.89,33.36,8.52,4.07,4.45
la guajira,1033116.0,216.0,20.0,4.0,41081,49.67333333333334,1040193.0,49.894,26.163,49057.08333333334,43.3,32.6,68.4,17.9,12.0,32.8,48.6,41.3,76.0,4.8,3.5,6.3,3.3,3.0,3.0,52.3,50.5,53.0,25.8,22.7,26.1,24.4,10.8,59.3,5.5,4.8,9.9,4.7,4.5,8.4,26.6,10.0,56.8,23.7,20.1,27.6,18.6,11.9,46.1,21.2,20.6,21.2,1.1,0.9,1.7,90.9,89.5,93.9,69.02,8.33,10.0,18.67,8.66,0.0,738.8577127738803,47.22968356828029,137.78333333333333,27.944578992186862,33.096663845495364,22.314663974363643,74.68641663754751,34.75,17.66,17.09,60.27,29.09,31.18,4.98,2.22,2.76
magdalena,1279184.0,181.0,36.0,13.0,93260,55.71,1298562.0,56.00100000000001,30.014,125742.0,56.34999999999999,47.5,65.6,27.0,22.45,34.45,68.3,60.0,78.85,2.6,2.0,3.35,3.6,3.8,2.95,47.4,48.7,49.75,22.1,24.9,17.8,41.4,38.45,40.5,5.75,4.6,7.2,5.55,4.550000000000002,5.65,29.35,15.3,42.09999999999999,24.55,20.75,29.2,21.95,5.75,43.2,16.55,15.15,17.6,1.45,0.95,2.0,93.1,91.75,94.5,72.11,4.13,2.0,9.64,10.61,0.03333333333333333,1500.0511272825727,77.70425728985097,168.08571428571432,26.216085424016104,31.29352971892698,19.67773521446877,80.90912473772035,28.72,14.77,13.95,63.89,31.75,32.15,7.39,3.53,3.86
meta,1005936.0,202.0,14.0,11.0,66087,36.7,1016672.0,11.872,31.41,98675.75,32.7,28.8,43.3,12.9,9.8,14.9,65.6,55.7,77.9,2.1,1.9,2.3,5.6,6.0,5.0,34.3,34.0,34.6,8.2,13.2,4.9,5.8,4.3,8.3,4.6,3.9,5.5,5.0,2.7,4.7,10.9,4.4,20.1,19.3,18.3,20.7,21.6,3.6,38.8,15.9,15.2,15.0,1.6,1.4,1.9,86.0,82.3,88.1,70.8,10.13,20.0,22.82,3.34,0.0,3366.691023587745,174.0041431273914,505.9152542372882,25.50840182477797,30.73926742084368,20.49553819414143,81.87815997428154,24.93,12.79,12.14,67.81,34.2,33.61,7.26,3.6,3.66
narino,1787334.0,272.0,16.0,2.0,129735,45.84843749999999,1809301.0,54.386,33.174,210331.0,42.7,24.7,49.15000000000001,17.35,10.55,20.1,74.05,54.2,83.25,1.1,0.8500000000000001,1.15,4.25,3.25,4.55,46.45,42.95,45.65,10.7,15.15,8.65,18.8,5.55,25.2,3.75,2.1,4.5,0.75,0.7,0.5,25.6,6.1,31.75,15.45,13.3,16.15,17.0,1.25,24.6,8.25,11.1,7.35,1.5,0.7,1.8,93.45,88.7,95.2,78.145,2.75,18.5,12.89,2.715,0.046875,2163.008171098748,190.04070760817862,1616.983870967742,17.213383820394814,21.879163709053568,12.793466827641636,83.45811505792325,22.37,11.43,10.95,67.88,33.1,34.77,9.75,4.42,5.33
norte de santander,1377831.0,221.0,55.0,6.0,109751,49.62499999999999,1391366.0,64.243,32.048,131161.08333333337,48.84999999999999,30.25,61.15,18.05,13.5,23.0,74.9,55.8,85.75,2.35,1.65,2.8,5.35,5.05,4.9,38.8,39.55,38.25,15.45,16.5,12.4,16.15,4.15,29.85,6.05,3.0,8.600000000000001,1.2,1.2,1.1,14.45,2.4,19.9,21.1,15.65,25.1,38.84999999999999,2.05,66.25,16.1,15.9,15.6,3.25,1.15,4.8,90.4,84.45,94.2,55.095,4.09,8.0,21.9,4.445,0.325,1952.0383788928734,120.87957102263573,919.5913978494624,22.33759586307061,27.44385385278624,16.01056018112263,81.50740575280567,24.25,12.47,11.78,67.55,33.17,34.38,8.2,3.67,4.54
putumayo,355020.0,46.0,7.0,0.0,17551,38.17692307692308,358896.0,14.422,29.405,18112.83333333333,38.9,30.3,48.7,10.1,7.5,13.5,58.8,48.1,70.8,1.5,1.5,1.7,9.4,8.8,9.0,40.4,41.5,43.2,10.1,14.4,6.2,19.4,11.1,24.5,4.0,2.8,5.2,8.5,14.5,0.9,3.2,2.1,4.3,14.1,13.3,17.0,35.1,3.8,60.5,10.9,12.2,11.4,1.9,1.1,2.7,89.5,87.7,92.3,58.35,6.735,46.0,25.98,3.09,0.0,3135.499803162918,218.49919217367213,1120.7272727272727,22.52721883840066,27.038466145296503,17.937985711828595,86.02924694266424,27.01,13.78,13.23,66.74,33.52,33.22,6.25,3.16,3.09
quindio,573702.0,86.0,4.0,3.0,64412,23.85,574960.0,311.631,37.16,68050.66666666669,23.9,17.15,27.0,13.95,11.0,16.3,61.05,58.75,69.6,1.6,1.3,2.1,3.35,2.85,2.95,26.8,27.85,25.05,5.4,6.55,2.8,2.3,1.4,4.15,3.2,2.9,3.9,4.449999999999998,3.15,5.55,1.15,0.6499999999999999,1.4,12.05,10.7,14.15,3.15,0.7,8.75,16.05,16.15,15.45,0.9,0.8500000000000001,1.35,83.30000000000003,84.05,80.9,96.365,22.54,5.5,29.15,0.945,0.0,2200.6798480212,150.67619047619047,1482.8,21.33489898989899,26.50829545454545,16.220833333333335,80.56595899470899,17.7,9.06,8.64,69.49,33.31,36.18,12.81,5.83,6.98
risaralda,961167.0,185.0,11.0,0.0,97199,35.3,967780.0,2337.633,35.993,147772.83333333337,34.6,17.75,48.45,15.35,9.65,21.75,73.55000000000003,58.05,83.85,1.6,1.1,2.15,3.4,3.95,3.8,28.35,27.35,31.75,4.6,5.15,3.35,15.75,1.35,28.25,3.85,2.6,5.05,2.9,2.2,6.699999999999998,1.25,0.35,1.9,15.1,11.1,19.55,19.05,0.7,41.0,13.95,13.45,15.0,2.55,1.1,3.1,88.9,83.65,92.45,82.095,12.06,9.0,28.14,1.47,0.0,2583.9981275976256,196.90210188071742,1517.6363636363635,19.212942147252495,24.001187409812413,15.125477668362787,83.3227387583526,19.27,9.84,9.43,69.03,32.86,36.18,11.69,5.15,6.54
san andres y providencia,78245.0,2.0,0.0,0.0,3628,15.25,78413.0,1507.942,33.968,1597.583333333333,15.25,14.85,15.05,2.7,2.85,2.5,27.4,25.6,28.65,2.5,2.25,2.85,2.35,2.05,3.05,15.9,16.0,17.0,8.3,11.05,3.75,49.2,85.55,3.05,2.85,2.4,3.2,11.15,22.5,0.25,0.95,1.2,0.75,8.7,8.15,8.9,65.4,41.7,85.65,22.35,22.05,22.75,0.8,0.6,0.95,68.15,67.5,69.35,88.71,29.3,0.0,0.0,0.66,0.0,1907.117811070139,163.9400543651804,27.57142857142857,27.64287518037518,30.281842532467532,24.77500000000001,79.90161564625849,21.48,11.03,10.45,71.0,34.05,36.95,7.52,3.22,4.3
santander,2071524.0,537.0,88.0,8.0,194054,37.72068965517242,2090854.0,68.47,34.04,294887.58333333326,36.6,19.2,46.0,16.6,10.1,19.4,73.2,52.0,83.1,1.5,1.3,1.5,4.0,3.3,4.2,36.6,33.7,38.4,7.0,9.2,6.0,13.1,3.2,15.6,3.6,1.8,4.6,0.7,0.4,0.7,9.6,1.2,13.3,15.4,11.4,17.0,27.5,1.3,43.1,11.5,13.3,10.6,1.7,0.8,2.1,89.3,82.3,92.3,70.11,6.435,0.0,0.0,1.86,0.0,2103.453144398372,155.33577094086982,1219.344827586207,22.184391693150644,27.64475641761885,16.678178319446182,81.3976747207402,21.82,11.19,10.63,68.36,33.43,34.93,9.81,4.33,5.48
sucre,859394.0,286.0,134.0,10.0,75321,53.53076923076922,877024.0,80.336,31.515,69310.16666666669,53.65,45.4,62.40000000000001,29.65,24.05,34.8,67.25,57.0,77.9,1.8,1.6,2.05,5.5,5.050000000000002,5.85,49.7,47.2,51.6,19.4,22.15,15.25,28.1,17.75,38.8,3.95,3.55,4.2,9.65,8.600000000000001,9.85,27.55,16.25,45.7,21.6,19.2,23.8,11.45,4.9,20.6,12.4,13.45,11.9,0.9,0.75,1.05,93.9,91.95,94.8,85.465,3.15,7.5,8.86,8.75,0.0,1685.6446026973395,81.60893658182566,72.7,27.719054140159358,32.649381728778465,21.871289760348578,82.41337593394259,26.77,13.73,13.04,64.5,32.29,32.21,8.73,4.26,4.47
tolima,1411141.0,81.0,0.0,5.0,142949,38.54255319148937,1419957.0,60.265,35.08,151051.16666666663,36.6,26.3,48.0,17.3,12.5,21.0,72.2,59.0,83.4,1.9,1.5,2.1,2.9,2.5,2.7,34.9,36.0,34.3,8.5,11.3,5.8,14.6,4.0,22.9,4.5,3.0,5.6,2.7,2.3,2.6,6.7,2.5,11.9,14.7,12.4,16.7,20.8,1.2,39.7,14.4,15.2,13.6,1.3,0.9,1.7,90.1,86.2,93.1,73.7,7.275,16.0,26.47,2.43,0.0,1776.539629132651,137.81322921458028,1126.2781954887218,24.81901509873059,29.37757288996421,18.659952313277344,76.15860612884491,22.04,11.31,10.73,66.23,32.69,33.54,11.73,5.57,6.17
valle del cauca,4682583.0,629.0,36.0,6.0,422194,23.67857142857143,4755760.0,2148.04,35.744,459073.41666666674,23.05,16.6,29.75,12.35,9.7,15.8,58.9,49.25,71.9,1.5,1.3,1.85,3.85,3.65,3.3,28.3,27.05,28.75,5.25,6.4,3.5,3.65,1.55,8.75,3.5,2.65,4.300000000000002,2.3,1.05,3.55,1.7,0.4,3.55,13.5,12.2,15.0,6.0,0.8,18.5,13.6,13.95,13.1,1.0,0.7,1.35,83.25,81.4,85.80000000000003,91.84,24.89,13.5,55.005,0.78,0.047619047619047616,1875.253465929568,143.12175463157996,1315.9692307692308,22.49942272621753,27.604122168547512,17.59461786113487,80.97847322666959,19.32,9.87,9.45,69.43,32.84,36.59,11.24,4.79,6.45
vaupes,44671.0,4.0,0.0,0.0,1431,88.76666666666667,44928.0,0.83,22.849,512.1666666666666,90.2,22.45,96.35,26.6,3.35,29.7,81.05000000000003,18.4,91.4,16.3,1.5,18.65,9.85,0.3,11.55,86.80000000000003,21.1,93.75,33.0,7.55,38.6,66.2,4.65,79.85,14.1,2.0,20.9,35.95,27.05,11.75,30.7,1.8,40.8,45.2,10.5,49.65,73.6,4.65,90.45,35.8,10.4,39.0,0.4,0.0,0.35,95.55,39.25,99.0,39.05,2.02,10.0,0.0,40.67,0.0,3585.706585894905,192.5247791248606,184.625,26.958618020148567,32.45912700917909,21.844719887955183,78.4968188412317,44.18,22.08,22.11,52.02,28.5,23.52,3.8,1.94,1.86
vichada,77249.0,0.0,0.0,0.0,2656,66.775,77276.0,0.7709999999999999,24.171,3786.416666666666,60.0,48.85,74.15,15.2,10.45,24.8,61.35,46.75,79.30000000000003,7.800000000000002,3.6,14.85,8.4,12.45,8.15,53.4,43.6,64.75,22.3,18.25,25.25,74.6,91.65,36.7,9.25,4.15,16.6,16.5,12.05,28.45,29.75,17.1,52.25,25.75,22.5,33.34999999999999,23.8,9.05,42.1,29.35,24.4,35.0,1.25,1.1,1.3,86.2,83.65,90.35,62.005,2.33,29.5,15.53,21.72,0.25,2612.429193431917,133.63225072107522,111.65217391304348,25.619262371485966,30.82276253932465,20.63157435313165,83.86110887839476,38.27,19.6,18.67,58.24,31.51,26.73,3.49,1.99,1.5
